ID,Title,Directed by,Produced by,Cinematography,Running Time (int),Release Date (datetime),Distributed by,Language,Written by,Starring,Edited by,Production companies,Release Year,SentimentScore,Budget (float),Box Office Status
0,Daybreakers,The Spierig Brothers,"['Chris Brown', 'Sean Furst', 'Bryan Furst']",Ben Nott,98.0,2009-09-11,"['Lionsgate (United States)', 'Hoyts Distribution', ' (Australia)']",English,The Spierig Brothers,"['Ethan Hawke', 'Willem Dafoe', 'Claudia Karvan', 'Michael Dorman', 'Sam Neill', 'Vince Colosimo', 'Isabel Lucas']",Matt Villa,"['Lionsgate', 'Screen Australia', 'Pictures in Paradise', 'Film Finance Corporation Australia', 'Pacific Film & Television Commission', 'Furst Films']",2009,0.6428571428571429,20000000.0,Success
1,Leap Year,Anand Tucker,"['Gary Barber', 'Chris Bender', 'Roger Birnbaum', 'Jonathan Glickman', 'Jake Weiner']",Newton Thomas Sigel,100.0,2010-01-06,"['Universal Pictures (United States)', 'Optimum Releasing (United Kingdom and Ireland)']",English,"['Harry Elfont', 'Deborah Kaplan']","['Amy Adams', 'Matthew Goode', 'Adam Scott', 'John Lithgow']",Nick Moore,"['Spyglass Entertainment', 'BenderSpink']",2010,0.83,19000000.0,Failure
2,Youth in Revolt,Miguel Arteta,David Permut,Chuy Chávez,89.0,2009-10-19,Dimension Films,English,Gustin Nash,"['Michael Cera', 'Portia Doubleday', 'Jean Smart', 'Mary Kay Place', 'Justin Long', 'Fred Willard', 'Ray Liotta', 'Steve Buscemi']","['Pamela Martin', 'Andy Keir']","['Permut', 'Shangri-La Entertainment']",2009,0.78,18000000.0,Failure
3,Wonderful World,Joshua Goldin,"['Miranda Bailey', 'Matthew Leutwyler', 'Glenn Williamson']",Daniel Shulman,89.0,2009-04-27,Magnolia Pictures,English,Joshua Goldin,"['Matthew Broderick', 'Sanaa Lathan', 'Michael K. Williams', 'Jodelle Ferland', 'Jesse Tyler Ferguson', 'Ally Walker', 'Philip Baker Hall']",Jeff Canavan,"['Ambush Entertainment', 'Back Lot Pictures', 'Cold Iron Pictures']",2009,0.5,3000000.0,Failure
4,The Book of Eli,The Hughes Brothers,"['Joel Silver', 'Denzel Washington', 'Broderick Johnson', 'Andrew A. Kosove', 'David Valdes']",Don Burgess,118.0,2010-01-15,"['Warner Bros. Pictures', ' (North America)', 'Summit Entertainment', ' (International)']",English,Gary Whitta,"['Denzel Washington', 'Gary Oldman', 'Mila Kunis', 'Ray Stevenson', 'Jennifer Beals', 'Frances de la Tour', 'Michael Gambon']",Cindy Mollo,"['Alcon Entertainment', 'Silver Pictures']",2010,0.88,80000000.0,Failure
5,The Spy Next Door,Brian Levant,Robert Simonds,Dean Cundey,94.0,2009-12-22,"['Lionsgate', ' (United States)', 'Mandate Pictures', ' (International)']",English,"['Jonathan Bernstein', 'James Greer', 'Gregory Poirier']","['Jackie Chan', 'Amber Valletta', 'Madeline Carroll', 'Will Shadley', 'Magnús Scheving', 'Billy Ray Cyrus', 'George Lopez']",Lawrence Jordan,Relativity Media,2009,0.58,28000000.0,Failure
6,Fish Tank,Andrea Arnold,"['Nick Laws', 'Kees Kasander']",Robbie Ryan,123.0,2009-05-14,Curzon Artificial Eye,English,Andrea Arnold,"['Katie Jarvis', 'Michael Fassbender', 'Kierston Wareing', 'Rebecca Griffiths', 'Harry Treadaway', 'Sydney Mary Nash']",Nicolas Chaudeurge,"['BBC Films', 'UK Film Council', 'Kasander Film Company', 'Limelight Communication', 'ContentFilm']",2009,0.6,3000000.0,Failure
7,Extraordinary Measures,Tom Vaughan,"['Michael Shamberg', 'Stacey Sher', 'Carla Santos']",Andrew Dunn,106.0,2010-01-22,"['CBS Films', ' (North America)', 'Sony Pictures Releasing International', ' (International)']",English,Robert Nelson Jacobs,"['Brendan Fraser', 'Harrison Ford', 'Keri Russell']",Anne V. Coates,Double Feature Films,2010,0.6458333333333334,31000000.0,Failure
8,Legion,Scott Stewart,"['David Lancaster', 'Michel Litvak']",John Lindley,100.0,2010-01-22,Sony Pictures Releasing,English,"['Peter Schink', 'Scott Stewart']","['Paul Bettany', 'Lucas Black', 'Tyrese Gibson', 'Adrianne Palicki', 'Charles S. Dutton', 'Jon Tenney', 'Kevin Durand', 'Willa Holland', 'Kate Walsh', 'Dennis Quaid']",Steven Kemper,"['Screen Gems', 'Bold Films']",2010,0.74,26000000.0,Success
9,Tooth Fairy,Michael Lembeck,"['Mark Ciardi', 'Gordon Gray', 'Jason Blum']",David Tattersall,101.0,2010-01-22,20th Century Fox,English,"['Lowell Ganz', 'Babaloo Mandel', 'Joshua Sternin', 'Jennifer Ventimilia', 'Randi Mayem Singer']","['Dwayne Johnson', 'Ashley Judd', 'Julie Andrews']",David Finfer,"['Walden Media', 'Mayhem Pictures', 'Blumhouse Productions', 'Dune Entertainment']",2010,0.7,48000000.0,Success
11,To Save a Life,Brian Baugh,Jim Britts,C. Clifford Jones,120.0,2009-11-05,Samuel Goldwyn Films,English,Jim Britts,"['Randy Wayne', 'Deja Kreutzberg', 'Joshua Wiegel']",Dan O'Brien,"['New Song Pictures', 'Outreach Films', 'Accelerated Entertainment']",2009,0.73,500000.0,Success
12,Edge of Darkness,Martin Campbell,"['Graham King', 'Tim Headington', 'Michael Wearing']",Phil Meheux,117.0,2010-01-29,"['Warner Bros. Pictures (North America, Latin America and Spain)', 'Icon Film Distribution (United Kingdom, Australia and New Zealand)']",English,"['William Monahan', 'Andrew Bovell']","['Mel Gibson', 'Ray Winstone', 'Danny Huston', 'Bojana Novakovic']",Stuart Baird,GK Films,2010,0.5,80000000.0,Failure
13,When in Rome,Mark Steven Johnson,"['Mark Steven Johnson ', 'Gary Foster ', 'Andrew Panay']",John Bailey,91.0,2010-01-29,"['Walt Disney Studios', 'Motion Pictures']",English,"['Mark Steven Johnson ', 'David Diamond', ' ', 'David Weissman']","['Kristen Bell', ' ', 'Josh Duhamel', ' ', 'Will Arnett', ' ', 'Jon Heder', ' ', 'Dax Shepard', ' ', 'Danny DeVito', ' ', 'Anjelica Huston']",Ryan Folsey,Touchstone Pictures,2010,1.0,28000000.0,Failure
14,Preacher's Kid,Stan Foster,"['Marc Bienstock', 'Richard J. Cook', 'Matthew Crouch', 'Stan Foster', 'Darryl Taja']",Dave Perkal,110.0,2010-01-29,Warner Premiere,English,Stan Foster,"['LeToya Luckett', ""Rae'Ven Larrymore Kelly"", 'Kiki Sheard', 'Durrell ""Tank"" Babbs', 'Clifton Powell', 'Gregory Alan Williams', 'Sharif Atkins', 'Trey Songz', 'Tammy Townsend', 'Essence Atkins', 'Ella Joyce']",Richard Nord,Gener8Xion Entertainment,2010,0.5,3000000.0,Failure
15,Saint John of Las Vegas,Hue Rhodes,"['Mark Burton', 'Matt Wall', 'Spike Lee', 'Steve Buscemi', 'Stanley Tucci']",Giles Nuttgens,85.0,2009-06-10,IndieVest Pictures,English,Hue Rhodes,"['Steve Buscemi', 'Romany Malco', 'Sarah Silverman', 'Peter Dinklage', 'Tim Blake Nelson']",Annette Davey,Circle of Confusion,2009,0.6153846153846154,2000000.0,Failure
16,Ajami,"['Scandar Copti', 'Yaron Shani']","['Moshe Danon', 'Thanassis Karathanos', 'Talia Kleinhendler']",Boaz Yehonatan Yaacov,120.0,2009-05-22,Kino International,Arabic,"['Scandar Copti', 'Yaron Shani']","['Fouad Habash', 'Ibrahim Frege', 'Scandar Copti', 'Shahir Kabaha', 'Eran Naim']","['Scandar Copti', 'Yaron Shani']","['Inosan productions', 'Twenty Twenty Vision Filmproduktion GmbH', 'ARTE', 'Vertigo Films']",2009,0.3888888888888889,1000000.0,Failure
17,Dear John,Lasse Hallström,"['Marty Bowen', 'Wyck Godfrey', 'Ryan Kavanaugh']",Terry Stacey,107.0,2010-02-05,"['Sony Pictures Releasing (United States)', 'Lionsgate (International)']",English,Jamie Linden,"['Channing Tatum', 'Amanda Seyfried', 'Henry Thomas', 'Scott Porter', 'Richard Jenkins']",Kristina Boden,"['Screen Gems', 'Relativity Media', 'Temple Hill Entertainment']",2010,0.63,25000000.0,Success
